PERMIT_TYPE,PERMIT#,PERMIT_RSN,PROJECT_NAME,LOCATION,EXPIRATION,CONTRACTOR,PHONE#,TOTAL_DAYS
Temporary Right of Way Use Permit,2018-102144 RW,11963877,Waterproofing and Glass - Colorado St 700 blk (ALLEY) - Partial Alley Closure,100-119 W 7TH ST,4/28/19,RTC Waterproofing and Glass,9724462211,180
Temporary Right of Way Use Permit,2019-046561 RW,12163842,IE2 - WHEELESS ST 1000-1015 - Construction Entrance,1000-1015 WHEELESS ST,10/27/19,IE2 Construction Inc,5129733930,180
Temporary Right of Way Use Permit,2017-023978 RW,11681098,SWCAFE - W 2ND 452 - NUMERO 28 PIZZERIA,452 W 2ND ST,3/31/22,,9175626725,1825
Temporary Right of Way Use Permit,2017-085968 RW,11755346,SWCAFE - ALDRICH ST 1911 - COLLEEN'S KITCHEN,1910-1933 ALDRICH ST,7/13/22,Colleen's Kitchen,512,1825
Temporary Right of Way Use Permit,2016-013923 RW,11482686,SWCAFE - W 2ND ST 310 - BLOCK 21 SERVICE CO. LLC,310 W 2ND ST,4/9/21,STRATUS PROPERTIES,5124785788,1826
Temporary Right of Way Use Permit,2014-128482 RW,11259005,SWCAFE - LAVACA ST 405 - LAVACA STREET BAR,405 LAVACA ST,1/12/20,MJL INTERESTS LLC,5127628897,1826
Temporary Right of Way Use Permit,2014-122858 RW,11250240,SWCAFE - S CONGRESS AVE 1412 - GUEROS ,1412 S CONGRESS AVE,2/25/23,LIPPINCOTT CAPITAL LTD,5129176144,1826
Temporary Right of Way Use Permit,2016-008928 RW,11476806,SWCAFE - W 6TH ST 600 - STAR BAR,600 W 6TH ST,3/22/21,,5129479469,1826
Temporary Right of Way Use Permit,2018-116340 RW,11980673,SWCAFE - W 2ND ST 234 - UPSTAIRS CIRCUS,200-259 W 2ND ST,8/3/23,Upstairs Circus,3035053485,1826
Temporary Right of Way Use Permit,2017-126041 RW,11802331,SWCAFE - S CONGRESS AVE - COTTAGE & CO DBA MONSIEUR MARCEL,1700-1799 S CONGRESS AVE,11/3/22,,5124452607,1827
Temporary Right of Way Use Permit,2016-014466 RW,11483297,SWCAFE - E 2ND ST 110 - OSTERIA PRONTO RESTAURANT,110 E 2ND ST,2/13/21,White Lodging Services Corp./Austin 18 Hotel LLC/JW Marriott Austin,2194722900,1827
Temporary Right of Way Use Permit,2016-014459 RW,11483274,SWCAFE - E 2ND ST 110 - CORNER RESTAURANT,110 E 2ND ST,2/13/21,White Lodging Services Corp./Austin 18 Hotel LLC/JW Marriott Austin,2194722900,1827
Temporary Right of Way Use Permit,2016-113363 RW,11600816,SWCAFE - S CONGRESS AVE 1722 - JUNE'S BAR,1722 S CONGRESS AVE,10/20/21,June's Bar LLC dba June's Bar,5127998243,1827
Temporary Right of Way Use Permit,2017-018306 RW,11674139,SWCAFE - SAN JACINTO BLVD 200 - CAFE CREPE,207 SAN JACINTO BLVD,3/11/22,,7139041976,1827
Temporary Right of Way Use Permit,2017-123330 RW,11799234,SWCAFE - W 2ND ST 500 STE 133 - FLOWER CHILD,500-517 W 2ND ST,10/2/22,FLOWER CHILD,4809056920,1827
Temporary Right of Way Use Permit,2017-123302 RW,11799206,SWCAFE - W 2ND ST 500 Suite 120 - NORTH ITALIA,500-517 W 2ND ST,10/2/22,NORTH ITALIA,4809056920,1827
Temporary Right of Way Use Permit,2017-101306 RW,11773484,SWCAFE - CONGRESS AVE 609 - ROYAL BLUE GROCERY,600-623 CONGRESS AVE,9/8/22,,5126570053,1827
Temporary Right of Way Use Permit,2016-004765 RW,11471882,SWCAFE - E 2ND ST 110 - BURGER BAR,110 E 2ND ST,2/22/21,White Lodging Services Corp./Austin 18 Hotel LLC/JW Marriott Austin,2194722900,1827
Temporary Right of Way Use Permit,2015-033625 RW,11317709,SWCAFE - SAN JACINTO BLVD 201 - PF CHANG'S CHINA BISTRO,201 SAN JACINTO BLVD,5/19/20,C/O PF CHANG'S CHINA BISTRO,5123280011,1827
Temporary Right of Way Use Permit,2015-004049 RW,11275836,SWCAFE - W 4TH STREET 117 - CAPITOL GRILLE RESTAURANT,117 W 4TH ST,3/12/20,"RARE HOSPITALITY OF TEXAS, LP",4072455767,1827
Temporary Right of Way Use Permit,2015-142844 RW,11452710,SWCAFE - E 5TH ST 310 - WESAUS ,310 E 5TH ST,12/31/20,"WESAUS, LLC",5123912333,1827
Temporary Right of Way Use Permit,2017-086100 RW,11755489,SWCAFE - NUECES ST 360 #90 - WEST END GROCERY,300-365 NUECES ST,7/17/22,Owner,5126570053,1827
Temporary Right of Way Use Permit,2017-109917 RW,11783758,SWCAFE - GUADALUPE ST 2001 A1 - POKE BAY,2000-2026 GUADALUPE ST,9/1/22,,5625522409,1827
Temporary Right of Way Use Permit,2018-064535 RW,11919950,SWCAFE - E 6TH ST 1300 - ATTABAR,1300-1317 E 6TH ST,4/4/23,Attabar,5123516341,1827
Temporary Right of Way Use Permit,2017-087404 RW,11757097,SWCAFE - W 3RD ST 241 - DOWNTOWN GROCERY,200-259 W 3RD ST,7/17/22,,5126570053,1827
Temporary Right of Way Use Permit,2019-025090 RW,12138555,"Extenet/Corbel - San Jacinto Blvd 1605 1/2- Small Cell Install       ",1600-1620 SAN JACINTO BLVD,4/20/19,Corbel Communications Industries LLC,2674315269,19
Temporary Right of Way Use Permit,2019-032155 RW,12146809,Austin Commercial - Music LN 1000-1110 - Music Lane Project,1000-1110 MUSIC LN,4/17/19,Austin Commercial,5125746615,2
Temporary Right of Way Use Permit,2019-032150 RW,12146804,Austin Commercial - S Congress AVE 400-1123 - Tower Crane Dismantle,400-1123 S CONGRESS AVE,6/23/19,Austin Commercial,5125746615,2
Temporary Right of Way Use Permit,2019-037718 RW,12153345,Charter - Congress Ave Alley 800 Blk - Container replacement,800-823 CONGRESS AVE,4/20/19,LJA Engineering,5124394719,2
Temporary Right of Way Use Permit,2017-101673 RW,11773906,Hoar - 22nd & Nueces - Mixed Use Project,2200 NUECES ST,4/30/19,Hoar Construction,3347400494,20
Temporary Right of Way Use Permit,2019-040125 RW,12156231,AEU - Lott Ave 1100 Blk - Install secondary riser,1126 LOTT AVE,5/29/19,Austin Energy,5123226315,20
Temporary Right of Way Use Permit,2018-153107 RW,12021603,Bartlett Cocke - POQUITO ST 2200-2217 - Unloading and Hoisting Zone,2200-2217 POQUITO ST,5/31/19,Bartlett Cocke,5126567372,20
Temporary Right of Way Use Permit,2016-035283 RW,11508047,UCC-160414-02-01 CTRMA-US 183 South Water & Wastewater Relocation PKG 13,,12/1/21,ATD ROW,5129743212,2060
Temporary Right of Way Use Permit,2016-035801 RW,11508597,UCC-160414-04-01 CTRMA-US183 South Water & Wastewater Relocation PKG 15,,12/1/21,ATD ROW,5129743212,2060
Temporary Right of Way Use Permit,2016-011063 RW,11479315,UCC-160225-05-01 CTRMA-Bergstrom Expwy US 183 S. Water & Wastewater PKG 04,,12/1/21,ATD ROW,5129743212,2060
Temporary Right of Way Use Permit,2016-035255 RW,11508009,UCC-160414-01-01 CTRMA-US 183 South Water & Wastewater Relocation PKG 12,,12/1/21,ATD ROW,5129743212,2060
